Africa	n. 非洲
bodily	adj. 肉体的;有躯体的\nadv. 亲身地;整个儿地
body	n. 躯干;肉体
bog	n. 厕所;泥塘\nv. 陷入泥沼
boggle	n. 惊奇\nv. 弄坏;迟疑
bogus	adj. 假的
bohemian	adj. 放荡不羁的\nn. 放荡不羁的人
boil	n. 翻滚;疖\nv. 煮沸;开
boiler	n. 锅炉
boisterous	adj. 粗鲁的;狂暴的
bold	adj. 冒失的;勇敢的\nn. 黑体
bole	n. 树的主干;红玄武土
boll	n. 圆荚
bollard	n. 护柱;系船柱
bolster	n. 长枕;垫子\nv. 支撑;支持
bolt	n. 插销;螺栓\nv. 闩;筛
bomb	n. 炸弹\nv. 大胜;轰炸
bombard	n. 迫击炮船;射石炮\nv. 轰击;炮击
bombastic	adj. 夸夸其谈的
bomber	n. 轰炸机;投弹手
bombshell	n. 美女;炸弹
bond	n. 镣铐;约束\nv. 为...作保;黏合
bondage	n. 奴役
bone	n. 骨;骨质\nv. 施骨肥于;苦学
bonfire	n. 火堆;篝火
bonkers	adj. 疯狂的
bonnet	n. 副底帆;女帽\nv. 合伙诱骗
bonny	adj. 健康的;宁静的
bonus	n. 红利;奖金
bony	adj. 多骨的;骨的
boob	n. 笨蛋;大错\nv. 犯大错
booby	n. 笨蛋;鲣鸟;倒数第一
book	n. 卷;书\nv. 预订;预订
bookcase	n. 书架
bookish	adj. 迂腐的
booklet	n. 小册子
bookseller	n. 书商
bookshop	n. 书店
bookstall	n. 书亭
bookstore	n. 书店
boom	n. 暴涨;吊杆\nv. 使繁荣;暴涨
boomerang	n. 回旋飞镖\nv. 使人自食其果
boon	adj. 快活的;仁慈的\nn. 恩惠;请求
boost	n. 提高;推动\nv. 举;推动
boot	n. 靴;罩\nv. 猛踢;逐出
booth	n. 售货棚;投票站
bootleg	adj. 秘密的\nn. 私货;靴统\nv. 非法携带;非法制造
booty	n. 掠夺物;战利品
booze	v. 饮酒\nn. 酒
borax	n. 硼砂
border	n. 边;边界\nv. 邻接;接界
borderland	n. 边境
bore	n. 孔;内膛\nv. 挤出;钻\nbear的过去式
bored	adj. 令人厌烦的
borrow	v. 借用;借
bosh	n. 胡说;槽
bosom	adj. 胸的;知心的\nn. 乳房;胸\nv. 抱
boss	adj. 第一流的;领头的\nn. 老板;领袖\nv. 指挥;当头儿
botanical	adj. 植物学的\nn. 植物药物
botany	n. 植物生态;植物学
botch	n. 疖\nv. 拙劣地修补
both	adv. 在两方面同样地\npron. 两者
bother	n. 烦恼;努力\nv. 打扰;迷惑
bottle	n. 奶瓶;一束\nv. 把...装入瓶中
bottleneck	adj. 瓶颈口似的\nn. 瓶颈;窄路\nv. 阻碍;受阻
bottom	adj. 底部的;基础的\nn. 底;枯谷\nv. 使基;基于
bottomless	adj. 无底的;无根据的
botulism	n. 肉毒中毒
boudoir	n. 闺房
bough	n. 绞刑架;树枝
boulder	n. 巨砾
boulevard	n. 干道;林荫大街
bounce	n. 吹牛;弹回\nv. 反射;跳
boundary	n. 分界线
bounder	n. 暴发户;鲁莽的人
bounteous	adj. 慷慨的;丰富的
bounty	n. 慷慨;物产
bouquet	n. 花束;香味
bourgeois	adj. 中产阶级的\nn. 中产者
bout	n. 发作;较量
boutique	n. 时装商店
bow	n. 弓;虹\nv. 弯曲;鞠躬
bowdlerize	v. 删节
bowel	n. 肠;怜悯
bowl	n. 碗;木球\nv. 得...分
box	n. 箱;巴掌\nv. 打;斗拳
boxer	n. 斗拳狗
boy	n. 男孩;男子
boyfriend	n. 男性友人;情人
bps	n. 每秒传输位数
bra	n. 奶罩
brace	n. 背带;托架\nv. 使防备;支撑
bracelet	n. 手铐;手镯
bracket	n. 牛腿;托架\nv. 把...围住;给...装托架
bradawl	n. 打眼钻
brag	n. 夸耀之词;自夸者\nv. 夸说;自夸
braid	n. 辫子;穗带\nv. 编结;镶缀
braille	n. 布莱叶点字法\nv. 用布莱叶点字法印刷
brain	n. 脑;脑袋\nv. 重击...的头
brake	n. 闸;揉面机\nv. 刹住;碎\nbreak的过去式
bramble	n. 黑莓;黑莓果
bran	n. 麸皮;糠
branch	n. 分部;树枝\nv. 出枝;分支
brand	n. 烙铁;商标\nv. 打烙印于;加商标于
brandish	n. 意在威胁的挥舞\nv. 炫耀
brandy	n. 白兰地;刺激物
brash	adj. 无礼的;轻率的
brass	n. 黄铜;黄铜器
brassiere	n. 胸罩
brassy	adj. 黄铜的;嘈杂的
brat	n. 顽童;围裙
bravado	n. 蛮干心理;虚张声势
brave	adj. 勇敢的;壮观的\nn. 恶棍;勇敢的人\nv. 向...挑战;吹嘘
bravery	n. 华丽;勇敢
bravo	n. 喝彩声;打手\nv. 向...喝彩
brawl	n. 哗哗声;争吵\nv. 为...争吵;争吵
brawn	n. 膂力
bray	n. 驴叫声\nv. 叫;打
brazen	adj. 黄铜制的;无耻的\nv. 使变得无耻
brazier	n. 火盆;铜匠
breach	n. 决裂;破坏\nv. 攻破;破坏
bread	n. 面包;食物
breadline	n. 等候领施舍食物的队伍
breadth	n. 幅面;宽度
break	n. 破裂;破晓\nv. 打破;破坏
breakage	n. 破损;破损处
breakdance	n. 霹雳舞
breakdown	n. 拆除;衰竭;故障
breaker	n. 破碎者;碎浪
breakfast	n. 早餐\nv. 进早餐
breakneck	adj. 极陡的;极危险的
breakwater	n. 防波堤
breast	n. 胸;胸部\nv. 攀登;以胸撞
breath	n. 呼吸;气息
breathe	v. 呼吸;吸入
breech	n. 炮尾;臀部\nv. 给装上后膛
breeches	n. 裤子;马裤
breed	n. 一窝;种类\nv. 产;饲养
breeze	n. 微风;和风\nv. 吹微风;随风传送
breezy	adj. 通风的;有微风的
brevity	n. 短暂;简明扼要
brew	n. 酿造过程;酿造量\nv. 酿造;泡
bribe	n. 贿赂\nv. 向...行贿;行贿
brick	n. 砖;砖块状物\nv. 用砖砌;用砖围住
bricklayer	n. 砌砖工人
bride	n. 新娘;帽带
bridegroom	n. 新郎
bridesmaid	n. 女傧相
bridge	n. 鼻梁;桥\nv. 架桥于;跨越
bridle	n. 马勒;约束\nv. 约束;动怒
brief	adj. 短暂的;距离短的\nn. 辩护状;概要\nv. 作...的提要
briefcase	n. 公事包
brig	n. 禁闭室;桥
brigade	n. 队;旅\nv. 把...编成队
brigadier	n. 军士;陆军准将
brigand	n. 土匪;违法
bright	adj. 聪明的;明亮的\nadv. 光亮地
brighten	v. 发光;开颜
brilliant	adj. 光辉的;卓越的\nn. 最小号铅字
brim	n. 边;帽檐\nv. 使满;满
brine	n. 大海;盐湖;卤水\nv. 用浓盐水处理
bring	v. 促使;出产
brink	n. 边;始发点
brisk	adj. 起泡的;轻快的\nv. 使轻快;变得轻快
bristle	n. 刚毛;猪鬃\nv. 使直立;直立
brittle	adj. 尖利的;冷淡的\nn. 果仁薄脆糖
broach	n. 凿子;炙叉;提出\nv. 开始提及;钻孔开启
broad	adj. 广泛的;宽的
broadcast	n. 广播;撒播\nv. 广播;撒播
broaden	v. 使宽;变宽
broadside	adj. 侧放的;舷侧的\nadv. 齐发地\nn. 舷侧;舷侧炮
brocade	n. 织出凸花纹的织物\nv. 在...上织出凸花纹
brochure	n. 论文;小册子
broke	adj. 不名一文的\nbreak的过去式
broker	n. 经纪人;中人\nv. 做掮客
bronze	n. 古铜色;青铜\nv. 变得无情;呈古铜色
brooch	n. 胸针
brood	n. 全体孩子;一类\nv. 孵;想
broody	adj. 抱窝的
brook	n. 饶舌者;小溪\nv. 容忍;享有
broom	n. 金雀花;扫帚\nv. 扫;跑开
broth	n. 肉汤
brothel	n. 妓院
brother	n. 兄弟;挚友
brow	n. 额;眉;山顶
browbeat	v. 对...吹胡子瞪眼睛
brown	adj. 肤色深的;棕色的\nn. 棕色\nv. 呈现棕色
browse	v. 吃;吃草
bruise	n. 挫折;青肿\nv. 挫伤;打青
brunch	n. 早午餐
brunt	n. 主要冲力
brush	n. 刷;刷状物\nv. 刷;推
brusque	adj. 粗鲁的
brutal	adj. 严酷的;淫荡的
brutalize	v. 变残忍
brute	adj. 兽性的;野兽的\nn. 兽性;野兽
bubble	n. 冒泡;泡\nv. 激动;冒泡
buccaneer	n. 海盗;冒险家\nv. 当海盗
buck	adj. 雄的\nadv. 完全地\nn. 鹿皮;男人\nv. 顶撞;反抗
bucket	n. 水桶;桶\nv. 催...拼命跑;用桶提
buckle	n. 搭扣;弯曲\nv. 变形;扣住
buckwheat	n. 荞麦;荞麦片
bucolic	adj. 牧民的\nn. 牧歌;牧人
bud	n. 孩子;芽\nv. 使发芽;发芽
budge	n. 羔羊皮\nv. 推动;改变意见
budget	n. 包;批\nv. 规划;编预算
buff	adj. 暗黄色的;裸体的\nn. 暗黄色;打击\nv. 擦亮;作减震器
buffalo	n. 野牛\nv. 恐吓;迷惑
buffer	n. 缓冲器;擦拭轮\nv. 缓冲
buffet	n. 打击;抖振;自助餐\nv. 打;打击
buffoon	n. 滑稽的人;丑角
bug	n. 病菌;虫子\nv. 烦扰;突出
bugle	n. 军号;猎号\nv. 吹号;叫春
build	n. 体形;构造\nv. 构成;建设
builder	n. 建设者;建造者
bulb	n. 电灯泡;球茎
bulge	n. 船腹;膨胀\nv. 膨胀;塞满
bulk	n. 货舱;体积\nv. 使成堆;扩大
bulkhead	n. 舱壁;堤岸
bulky	adj. 体积大的;笨重的
bull	adj. 大号的;雄的\nn. 公牛;玺\nv. 彻底打扫;闲聊
bulldoze	v. 恐吓;清除
bulldozer	n. 恐吓者;推土机
bullet	n. 枪弹;小圆球
bulletin	n. 公告;学报\nv. 公告
bullfight	n. 斗牛
bullion	n. 金;金块
bullock	n. 阉牛
bully	adj. 霸道的;快活的\nn. 流氓;开球\nv. 威吓;欺负
bulwark	n. 保障;堡垒\nv. 保卫
bum	adj. 假的;劣质的\nn. 差劲者;屁股\nv. 乞求;寄食
bump	n. 肿块;重击\nv. 猛击;碰
bumper	n. 满杯;反弹球\nadj. 丰富的
bumpkin	n. 乡下人
bumptious	adj. 冒失的
bumpy	adj. 颠簸的
bun	n. 小圆面包;甜饼
bunch	v. 打褶;凸出
bundle	n. 包裹;捆\nv. 捆;收集
bung	n. 塞子;桶孔\nv. 扔;装满
bungalow	n. 平房
bungle	n. 拙劣的工作\nv. 把...搞糟
bunk	n. 床铺;垫木\nv. 合住;睡觉
bunker	n. 大桶;煤箱\nv. 为...加煤;为船加煤
bunny	n. 松鼠;兔子
buoy	n. 浮标;救生圈\nv. 支持;浮起
buoyant	adj. 能浮起的
burden	n. 重担;重负\nv. 加重荷于;加重压于
bureau	n. 办事处;局
bureaucrat	n. 官僚;官员
burette	n. 滴定管
burgeon	v. 发;发芽
burgh	n. 城镇;自治市
burglar	n. 夜盗
burgle	v. 破门盗窃
burial	n. 弃绝;葬
burly	adj. 粗鲁的;魁梧的
burn	n. 燃烧;烧伤\nv. 点燃;烧掉
burner	n. 灯头;烧者
burning	adj. 发热的;燃烧的
burnish	n. 光泽\nv. 擦亮;磨光
burp	n. 饱嗝\nv. 使打嗝;打嗝
burrow	n. 地洞;住处\nv. 掘出;在...掘洞
bursar	n. 财务主管;大学生
bursary	n. 资助基金
burst	n. 爆发;爆炸\nv. 爆发;爆炸
bury	v. 埋葬;掩埋
bus	n. 公共汽车;汽车\nv. 用四轮手推车送
bush	n. 灌木;衬套\nv. 用耙耙平;加衬套于
bushel	n. 蒲式耳\nv. 修整
bushy	adj. 似灌木般茂生的
business	n. 交易;职业
bust	n. 前胸;胸像\nv. 爆裂;破产
bustle	n. 忙乱;衬垫\nv. 充满;催促
busy	adj. 忙的\nv. 使忙于;忙碌
busybody	n. 照景镜;管闲事的人
but	conj. 但是
butcher	n. 肉商;屠夫\nv. 残杀;屠宰
butt	n. 残端;靶\nv. 捻熄;碰撞
butter	n. 奉承;黄油\nv. 涂黄油于...
butterfly	n. 蝶泳;蝴蝶
buttock	n. 臀部;纵剖线
button	n. 按钮;钮扣\nv. 圆满完成;装钮扣于
buttonhole	n. 钮孔\nv. 锁
buttress	n. 扶壁;支持力量\nv. 支持
buxom	adj. 丰满的;有健康美的
buy	n. 购买\nv. 获得;买
buyer	n. 采购员;购买者
buzz	n. 谣言;吱吱声\nv. 说闲话
buzzer	n. 蜂鸣器;汽笛
by	prep. 偏于;在...旁边
bye	adv. 再见\nn. 轮空;余穴
byelaw	n. 地方法
bygone	adj. 过去的
bypass	n. 分路器;旁道\nv. 绕过;越过
bypath	n. 次要分支;旁道
byroad	n. 小路
byway	n. 旁道
byword	n. 俗话;笑柄
cab	n. 出租车
cabbage	n. 顶芽;卷心菜
cabby	n. 出租汽车司机
cabin	n. 房舱;棚屋
cabinet	n. 顾问团;内阁
cable	n. 缆绳;锚链\nv. 系缚;装上缆索
cablegram	n. 海底电报
cabman	n. 出租汽车司机
cacao	n. 可可树
cache	n. 秘窖;贮藏处\nv. 秘藏起来
cackle	n. 咯咯声;饶舌\nv. 格格地笑;饶舌
cactus	n. 仙人掌
cad	n. 小市民
cadaverous	adj. 惨白的;死尸般的
caddie	n. 球童\nv. 当听差
caddy	n. 茶叶罐;盒子
cadence	n. 节律;声音降落
cadge	v. 骗得;乞讨
cadmium	n. 镉
cadre	n. 干部;核心班子
caesarean	adj. 剖腹产的;恺撒的
cafe	n. 咖啡;咖啡馆
cafeteria	n. 自助餐馆
caffeine	n. 咖啡因
cage	n. 牢房;笼子\nv. 击...入门得分
cagoule	n. 连帽薄防风衣
caisson	n. 弹药箱;炸药箱
cajole	v. 骗取;劝诱
cake	n. 饼;糕饼\nv. 结块
cakewalk	n. 阔步舞;走步竞赛\nv. 进行走步优美竞赛
calabash	n. 葫芦;加拉巴木
calamity	n. 不幸;灾难
calcify	v. 钙化
calcium	n. 钙
calculate	v. 打量;估计
calculator	n. 计算器;计算者
calculus	n. 微积分;演算
calendar	n. 历法;日历
calender	n. 轮压机;轧光工\nv. 把...轧光
calf	n. 小牛;仔
calibrate	v. 标定;使标准化
calibre	n. 口径;能力
calico	adj. 有斑点的\nn. 白棉布;东方棉布
caliph	n. 哈里发
call	n. 号声;呼叫\nv. 呼唤;叫
caller	n. 访问者;呼唤者
callipers	n. 双脚规
callous	adj. 有硬皮的;冷漠的\nv. 使生茧
callow	adj. 羽毛未丰的;年幼的
calm	adj. 安静的;平静的\nn. 安静;镇静\nv. 使平静;平静下来
calorie	n. 大卡;卡
calumniate	v. 诽谤
calumny	n. 诽谤
calve	v. 生;裂冰
camber	n. 曲面;中凸形\nv. 成弧形
cambric	n. 麻纱;细薄布
camel	n. 打捞浮筒;骆驼
camellia	n. 山茶;山茶花
cameo	n. 多彩浮雕
camera	n. 暗箱;照相机
cameraman	n. 摄影师
camouflage	n. 伪装;伪装物\nv. 伪装;使用伪装
camp	n. 兵营;拘留所\nv. 临时安顿;搞同性恋
campaign	n. 运动;战役\nv. 参加运动;作战
campfire	n. 营火;营火会
camphor	n. 樟脑
campus	n. 大学;大学校园
can	aux. 可以;能\nn. 大酒杯;容器\nv. 把...装罐保存
canal	n. 沟渠;管
canalize	v. 流入运河
canary	n. 淡黄色;金丝雀
cancel	v. 抵消;取消
cancer	n. 癌;癌症
candid	adj. 坦率的
candidate	n. 候选人;投考者
candle	n. 堪;蜡烛
candour	n. 公平;洁白
candy	n. 冰糖;糖果\nv. 使成冰糖;用糖煮
cane	n. 笞杖;手杖\nv. 用笞杖打
canine	adj. 犬齿的;犬的\nn. 犬;犬科动物
canister	n. 小罐;霰弹
canker	n. 溃疡\nv. 腐蚀;感染溃疡
cannabis	n. 大麻
cannery	n. 监狱
cannibal	adj. 嗜血成性的\nn. 食人生番
cannon	n. 大炮;机关炮\nv. 连击;炮轰
canny	adj. 节约的;精明的\nadv. 十分
canoe	n\nv. 小划子;独木舟
canopy	n. 顶篷;华盖\nv. 用天篷遮盖
cant	adj. 呈倾斜的;活泼的\nn. 黑话;倾斜\nv. 讲黑话;倾斜
canteen	n. 水壶;小卖部
canter	n. 慢跑;骑马慢跑\nv. 驱...慢跑;慢跑
cantilever	n. 悬臂梁;张臂梁
canvas	n. 帆;帆布\nv. 用帆布遮盖
canvass	v. 检查;细阅;游说
canyon	n. 都市街道;峡谷
cap	n. 便帽;根冠\nv. 覆盖;给...带帽
capability	n. 能力;性能
capable	adj. 有能力的
capacious	adj. 容量大的
capacitor	n. 电容器
capacity	n. 充满的;容量
cape	n. 斗篷;海角
caper	n. 蹦跳;活动\nv. 跳跳蹦蹦
capillary	adj. 毛细管的;毛状的\nn. 毛细管
capital	adj. 首都的;重要的\nn. 首都;资本
capitalism	n. 资本主义
capitalist	adj. 资本主义的\nn. 富豪;资本家
capitalize	v. 将...大写;利用
capitate	adj. 头状的;腕骨的
capitation	n. 人口税
caprice	n. 变化无常
capricious	adj. 变化无常的
capsize	v. 使倾覆;倾覆
capstan	n. 绞盘;主动轮
capsule	adj. 概要的;微小的\nn. 胶囊;小盒;太空舱
captain	n. 船长;领袖\nv. 率领
caption	n. 标题;字幕\nv. 给...加标题
captious	adj. 糊弄人的
captivate	v. 使入迷;抓住
captive	adj. 被俘虏的;俘虏的\nn. 俘虏;着迷的人
capture	n. 俘获;俘虏\nv. 夺得;俘虏
car	n. 车厢;小汽车
carat	n. 克拉
caravan	n. 活动住房;旅行队
carbolic	adj. 石炭酸的;用碳制的
carbon	n. 复写纸;碳
carbonic	adj. 含碳的;碳的
carbonize	v. 给...渗碳;碳化
carbuncle	n. 痈;棕红
carcass	n. 架子;尸体
carcinogen	n. 致癌物
card	n. 卡;卡片\nv. 得;梳理
cardboard	n. 薄纸板;硬纸板
cardiac	adj. 心脏的;贲门的\nn. 健胃药;强心剂
cardinal	adj. 鲜红的;最重要的\nn. 红衣主教;鲜红
care	n. 小心;忧虑\nv. 喜欢;关心
career	n. 成功;全速;职业;专业\nv. 使奔驰;奔驰\nadj. 职业的
carefree	adj. 无忧无虑的
careful	adj. 关切的;精确的
careless	adj. 粗心的;随便的
caress	n. 爱戴;爱抚\nv. 爱抚;善待
caretaker	n. 照顾者;管理员
cargo	n. 大量;货物
caricature	n. 漫画;漫画艺术\nv. 使显得滑稽
caries	n. 骨疡;龋
carmine	adj. 胭脂红色的\nn. 胭脂红
carnage	n. 大屠杀;尸体
carnal	adj. 肉体的;淫荡的
carnation	adj. 肉红色的\nn. 肉红色;香石竹
carnival	n. 表演会;游艺团
carol	n. 欢乐的歌;颂歌\nv. 欢乐地唱;赞美
carouse	n. 闹饮\nv. 喝干;狂饮
carp	n. 牢骚\nv. 找茬儿
carpenter	n. 木工\nv. 制作;做木工活
carpentry	n. 结构;木作
carper	n. 找茬儿者
carpet	n. 地毯织料;地毯状物\nv. 训斥
carriage	n. 支架;姿势
carrier	n. 搬运人;承保单位
carrot	n. 胡萝卜
carry	n. 射程;运载\nv. 提;携带
cart	n. 大车;小车\nv. 手提;赶大车
cartel	n. 卡特尔;书面协定
cartilage	n. 软骨;软骨部分
carton	n. 层纸;纸盒
cartoon	n. 动画片;漫画\nv. 给...绘草图;画漫画
cartridge	n. 暗盒;弹壳
carve	v. 雕刻;切开
cascade	n. 小瀑布;一连串\nv. 通过;串联
case	n. 框;箱\nv. 探察
casein	n. 酪蛋白
casement	n. 窗;壳
cash	n. 钱;钱箱\nv. 把...兑现;出
cashier	n. 出纳主任\nv. 把...处理掉;撤职
cashmere	n. 开士米
casino	n. 小别墅;赌场
cask	n. 桶;一桶东西
casket	n. 首饰盒\nv. 将...装在盒内
cassava	n. 木薯;木薯根茎
casserole	n. 焙盘;焙盘菜\nv. 用焙盘烧
cassette	n. 暗盒;小盒;录像带
cassock	n. 法衣;教士
cast	n. 撒网;投\nv. 投
caste	n. 等级;级
castigate	v. 惩罚;申斥
castle	n. 藏身所;城堡\nv. 王车易位
castor	n. 小脚轮;海狸皮
castrate	n. 被阉割的人\nv. 阉割
casual	adj. 非正式的;偶然的
casualty	n. 不幸事故;死者
casuist	n. 诡辩家;决疑论者
cat	n. 家伙;猫
cataclysm	n. 洪水;灾变
catacomb	n. 地下墓地;地下走道
catalogue	n. 目录;一系列\nv. 登记;编目录
catalyst	n. 刺激因素;催化剂
catapult	n. 弹弓;弩炮\nv. 投;用弹弓射
cataract	n. 白内障;瀑布
catarrh	n. 卡他
catch	n. 捕获物;抓\nv. 接住;抓住
catchword	n. 口号
catchy	adj. 欺骗性的
categorize	v. 将...分类
category	n. 范畴;种类
cater	n. 四;四点\nv. 满足需要;斜穿
cathedral	adj. 大教堂的;主教座的\nn. 大教堂
cathode	n. 阴极
catholic	adj. 罗马天主教的\nn. 罗马天主教徒\nadj. 广泛的;宽容的\nn. 扒手
catkin	n. 柔荑花序
cattle	n. 大众;牛
cauldron	n. 大锅
caulk	n. 捻缝材料\nv. 敛...的缝;填嵌
causal	adj. 原因的
cause	n. 理由;事业\nv. 使;使产生
causeway	n. 大路;堤道\nv. 筑堤道于
caustic	adj. 焦散的;刻薄的\nn. 腐蚀剂;焦散曲线;苛性钠
cauterize	v. 烙
caution	n. 警惕;小心\nv. 警告
cautious	adj. 十分小心的
cavalcade	n. 骑者队列
cavalier	adj. 傲慢的\nn. 骑士
cavalry	n. 骑兵;骑手
cave	n. 酒窖;地窖\nv. 塌落;当心
cavern	n. 洞;洞穴\nv. 置...于洞穴中
caviare	n. 鱼子酱
cavil	n. 吹毛求疵的意见\nv. 对...挑剔;挑剔
cavity	n. 洞;腔
cavy	n. 豚鼠
cayenne	n. 辣椒;辣椒粉
cease	n. 停止\nv. 停止;停
cedar	n. 柏;柳杉;雪松
cede	v. 割让;转让
ceiling	n. 天花板;镶板
celebrate	v. 举行;庆祝
celebrity	n. 名人;名声
celerity	n. 迅速
celery	n. 芹菜;芹菜的茎
celestial	adj. 精妙的;天的\nn. 神仙;中国人
celibate	adj. 独身的;禁欲的\nn. 独身者;禁欲者
cell	n. 蜂房巢室;小牢房;细胞;电池
cellar	n. 地窖;酒窖
cello	n. 大提琴
cellophane	n. 玻璃纸
cellular	adj. 多孔的;细胞的
celluloid	adj. 电影的;虚假的\nn. 赛璐珞;影片
cellulose	adj. 含有纤维素的\nn. 纤维素
cement	n. 胶结材料;水泥\nv. 巩固;黏结
cemetery	n. 墓地
cenotaph	n. 纪念碑
censer	n. 香炉
censor	n. 监察人员;审查员\nv. 审查;修改
censorious	adj. 吹毛求疵的
censure	n. 处罚;意见\nv. 对...评价;指责
census	n. 人口普查;统计数\nv. 对...进行人口调查
cent	n. 百;分
centenary	adj. 一百年的\nn. 一百年
centigrade	adj. 百分度的;摄氏的
centimetre	n. 厘米
central	adj. 为首的;中心的
centralize	v. 使集中;集于中心
centre	n. 心;正中\nv. 集中;居中
century	n. 一百分;百人
ceramic	adj. 陶瓷的\nn. 制陶艺术
cereal	adj. 谷物的\nn. 谷类植物;谷物
cerebral	adj. 脑的;翘舌音的
cerebrum	n. 大脑;脑子
ceremonial	adj. 礼节的;正式的\nn. 典礼;礼节
ceremony	n. 典礼;礼节
certain	adj. 固定的;可靠的
certainly	adv. 当然;无疑地
certainty	n. 必然的事;确信
certify	v. 担保;证明
certitude	n. 确信;准确性
cessation	n. 停止
cession	n. 割让;割让地
chafe	n. 擦;磨损\nv. 擦热;擦伤
chaff	n. 废物;谷壳\nv. 取笑;打趣
chagrin	n. 懊恼\nv. 使懊恼
chain	n. 枷锁;链\nv. 束缚
chair	n. 椅子;主席\nv. 使入座
chairman	n. 系主任;主席
chalet	n. 牧人小屋;瑞士农舍
chalk	n. 白垩;粉笔\nv. 用粉笔写;变成粉状
challenge	n. 怀疑;挑战\nv. 向...挑战;提出挑战
chamber	adj. 室内的;私人的\nn. 会议厅;室\nv. 装
chameleon	n. 变色蜥蜴
chamois	n. 羚羊皮;岩羚羊
champ	n. 咀嚼;冠军\nv. 捣碎;格格地咬
champagne	adj. 香槟酒色的\nn. 香槟酒;香槟酒色
champion	adj. 极好的\nn. 斗争者\nv. 捍卫;向...挑战
chance	adj. 偶然的\nn. 机会;机缘\nv. 冒...的险;碰巧
chancellor	n. 大臣;总理
chancy	adj. 不确定的
chandelier	n. 枝形吊灯
chandler	n. 蜡烛商人
change	n. 改变;更动\nv. 改变;换去
changeable	adj. 可改变的;闪色的
channel	n. 沟渠;海峡\nv. 输送;在...开槽
chaos	n. 混乱;混沌
chaotic	adj. 混乱的;混沌的
chap	n. 皲裂;颌;小伙子\nv. 使皲裂;皲裂
chaperon	n. 年长女伴;褶皱头巾\nv. 陪伴;当女伴
chaplet	n. 串珠;花冠
chapter	n. 章;重要章节
char	n. 炭;茶\nv. 做;打杂
character	n. 品德;性质
charge	n. 价钱;应付\nv. 要;冲锋
chargeable	adj. 应支付的
charity	n. 慈悲;施舍
charlatan	adj. 庸医的\nn. 庸医
charm	n. 美貌;魅力\nv. 使高兴;行魔法
chart	n. 地图;图\nv. 制订...的计划
charter	n. 特权;特许状\nv. 包;订约租
chary	adj. 节约的;谨慎的
chase	n. 打猎;槽\nv. 赶出;追寻
chasm	n. 缺口;陷窟
chassis	n. 底盘;机架
chaste	adj. 纯洁的;独身的;贞洁的
chasten	v. 磨练
chastise	v. 惩戒;责打
chat	n. 鸣禽;闲谈\nv. 劝告;闲谈
chattel	n. 动产;奴隶
chatter	n. 打战声;啭鸣声\nv. 打战;啭鸣
chatty	adj. 爱闲聊的;聊天式的
chauffeur	n. 汽车司机\nv. 为...开车;当司机
chauvinism	n. 沙文主义
cheap	adj. 廉价的\nadv. 廉价地
cheapen	v. 跌价
cheat	n. 骗子;欺骗\nv. 哄骗;欺骗
check	n. 停止;制服\nv. 核对;击退
checkout	n. 检查;结帐离开
checkup	n. 体检
cheek	n. 边柱;面颊\nv. 无礼地向...讲话
cheeky	adj. 厚脸皮的
cheer	n. 欢呼;心情\nv. 对...欢呼;欢呼
cheerful	adj. 愿意的
cheerio	adv. 干杯;喂;再见
cheery	adj. 兴高采烈的
cheese	n. 干酪;要人
chef	n. 厨师长
chelate	adj. 具螯的;螯合的\nn. 螯合物\nv. 生成螯合物
chemical	adj. 化学的\nn. 化学品
chemist	n. 化学家;药剂师
chemistry	n. 化学;化学过程
cheque	n. 支票;总收入
chequebook	n. 支票簿
cherish	v. 抱有;珍爱
cherry	n. 樱桃;樱桃红
cherub	n. 漂亮的孩子;小天使
chess	n. 国际象棋
chessman	n. 国际象棋棋子
chest	n. 箱;胸
chestnut	adj. 栗的;栗色的\nn. 栗木;栗子
chevron	n. V形臂章;波浪饰
chew	n. 咀嚼;咀嚼物\nv. 嚼;深思
chewinggum	n. 橡皮糖;口香糖
chic	adj. 漂亮的;时髦的\nn. 漂亮;时髦
chicanery	n. 诡辩;诡计
chick	n. 小孩;小鸡
chicken	adj. 胆小的;鸡肉的\nn. 家禽;小鸡\nv. 胆怯
chide	v. 责备
chief	adj. 为首的;主要的\nn. 酋长;首领
chiffon	adj. 松软的\nn. 雪纺绸
chilblain	n. 冻疮
child	n. 小孩;婴儿
childbirth	n. 分娩
childhood	n. 童年;早期
childish	adj. 孩子的;简单的
childlike	adj. 孩子般的;天真的
chill	n. 风寒;寒冷\nv. 变冷;激冷
chilly	adj. 冷淡的;相当冷淡
chime	n. 排钟;钟声\nv. 鸣;押韵
chimney	n. 玻璃灯罩;烟囱
chimpanzee	n. 黑猩猩
chin	n. 聊天;颏\nv. 与...谈话;聊天;振作起来
chink	n. 裂缝;弱点\nv. 裂开;丁当响
chip	n. 薄片;缺口;碎片\nv. 削下;镌刻
chiropody	n. 手足医术
chirp	n. 嘎吱声;啁啾声\nv. 啁啾
chirpy	adj. 快活的
chirrup	n. 不断地唧唧叫\nv. 发出咂嘴声
chisel	n. 凿子\nv. 欺骗;凿
chit	n. 小孩;芽;短信;单据
chloride	n. 氯化物
chlorinate	v. 使氯化;用氯处理
chlorine	n. 氯
chloroform	n. 氯仿\nv. 用氯仿于
chocolate	n. 巧克力;巧克力糖
